2026-03-23 13:37:00,594 | listener_started | / | ['127.0.0.1:9001']
2026-03-23 13:37:01,081 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-23 13:37:01,086 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-23 13:37:01,097 | send | /adm/obj/1/xyz | [0.776889443397522, -0.2885197103023529, 0.8061243891716003]
2026-03-23 13:37:01,098 | recv | /adm/obj/1/xyz | [0.776889443397522, -0.2885197103023529, 0.8061243891716003]
2026-03-23 13:37:15,144 | recv | /reward | [-1]
2026-03-23 13:37:15,146 | send | /adm/obj/1/xyz | [0.706834614276886, 1.0, 1.0]
2026-03-23 13:37:15,147 | recv | /adm/obj/1/xyz | [0.706834614276886, 1.0, 1.0]
2026-03-23 13:37:17,759 | recv | /reward | [-2]
2026-03-23 13:37:17,760 | send | /adm/obj/1/xyz | [0.9052822589874268, 0.1232350692152977, 0.41332074999809265]
2026-03-23 13:37:17,761 | recv | /adm/obj/1/xyz | [0.9052822589874268, 0.1232350692152977, 0.41332074999809265]
2026-03-23 13:37:20,229 | recv | /reward | [-2]
2026-03-23 13:37:20,234 | send | /adm/obj/1/xyz | [-0.40286967158317566, -0.6712371706962585, -0.2604881823062897]
2026-03-23 13:37:20,235 | recv | /adm/obj/1/xyz | [-0.40286967158317566, -0.6712371706962585, -0.2604881823062897]
2026-03-23 13:37:22,536 | recv | /reward | [-1]
2026-03-23 13:37:22,538 | send | /adm/obj/1/xyz | [0.38463830947875977, -1.0, -1.0]
2026-03-23 13:37:22,540 | recv | /adm/obj/1/xyz | [0.38463830947875977, -1.0, -1.0]
2026-03-23 13:37:25,930 | recv | /reward | [-2]
2026-03-23 13:37:25,931 | send | /adm/obj/1/xyz | [1.0, 0.13126111030578613, -0.4844489097595215]
2026-03-23 13:37:25,932 | recv | /adm/obj/1/xyz | [1.0, 0.13126111030578613, -0.4844489097595215]
2026-03-23 13:37:26,774 | recv | /episode/end | [1]
2026-03-23 13:37:26,775 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-23 13:37:26,776 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-23 13:37:26,778 | send | /adm/obj/1/xyz | [-0.8342881202697754, 1.0, -0.14577902853488922]
2026-03-23 13:37:26,778 | recv | /adm/obj/1/xyz | [-0.8342881202697754, 1.0, -0.14577902853488922]
2026-03-23 13:37:38,480 | listener_started | / | ['127.0.0.1:9001']
2026-03-23 13:37:38,949 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-23 13:37:38,950 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-23 13:37:38,951 | send | /adm/obj/1/xyz | [0.005647759884595871, -0.6965754628181458, -0.44255658984184265]
2026-03-23 13:37:38,952 | recv | /adm/obj/1/xyz | [0.005647759884595871, -0.6965754628181458, -0.44255658984184265]
2026-03-23 13:38:08,811 | recv | /reward | [-1]
2026-03-23 13:38:08,819 | send | /adm/obj/1/xyz | [-0.03609982132911682, 0.6642652750015259, 1.0]
2026-03-23 13:38:08,821 | recv | /adm/obj/1/xyz | [-0.03609982132911682, 0.6642652750015259, 1.0]
2026-03-23 13:38:11,482 | recv | /reward | [-1]
2026-03-23 13:38:11,484 | send | /adm/obj/1/xyz | [-1.0, 0.2635398805141449, -1.0]
2026-03-23 13:38:11,487 | recv | /adm/obj/1/xyz | [-1.0, 0.2635398805141449, -1.0]
2026-03-23 13:38:14,538 | recv | /reward | [-2]
2026-03-23 13:38:14,540 | send | /adm/obj/1/xyz | [0.09844892472028732, -1.0, 0.16075734794139862]
2026-03-23 13:38:14,542 | recv | /adm/obj/1/xyz | [0.09844892472028732, -1.0, 0.16075734794139862]
2026-03-23 13:38:18,866 | recv | /episode/end | [1]
2026-03-23 13:38:18,867 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-23 13:38:18,871 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
